policy,total_h,p50_s,p90_h,p95_h,p99_h,over_4h,past_target_h,person_h
OBSERVED (real scheduler),75333.7,7.0,2.03,4.64,14.82,4181,32643.8,4997.2
MODEL: FCFS + backfill + caps,30245.4,0.0,0.99,1.73,5.35,1040,6875.7,1325.8
MODEL: no caps (case 9),4098.8,0.0,0.14,0.19,1.18,6,0.4,67.1
NOW: caps as they are,30245.4,0.0,0.99,1.73,5.35,1040,6875.7,1325.8
OPT 1: 1h idle timeout,29156.1,0.0,0.98,1.7,5.13,988,6176.1,1191.9
OPT 2: elastic cap under 70%,9552.5,0.0,0.23,0.3,2.55,378,1033.4,167.7
OPT 3: both,8045.5,0.0,0.21,0.28,2.21,305,798.4,58.5
OPT 4: both + SJF order,6553.9,0.0,0.17,0.24,1.92,169,341.6,48.8
REF: double every cap,10516.5,0.0,0.45,0.66,1.76,97,46.8,131.5
REF: no caps at all,4098.8,0.0,0.14,0.19,1.18,6,0.4,67.1
